,Symbol,Price,SHARE1,PRICE1,SHARE2,PRICE2,SHARE3,PRICE3,SHARE4,PRICE4,SHARE5,PRICE5,SHARE6,PRICE6,SHARE7,PRICE7,IPO_PRICE,total_option_share,adjusted_price,Lowball,Outstanding_share,percentage_share
55,ABTX,21,895992,17.05,,,,,,,,,,,,,,895992,17.05,TRUE,21484000,0.0417050828523552
56,NTRA,18,1334007,0.66,55000,1.16,15253754,1.76,,,,,,,,,,16642761,1.669846226837,TRUE,68391000,0.243347238671755
57,NK,25,12211777,3.65,5000270,2.65,,,,,,,,,,,,17212047,3.3594901030656,TRUE,98674000,0.174433457648418
58,ZSAN,11,126696,2.21,2044038,0.35,,,,,,,,,,,,2170734,0.458559851183977,TRUE,16973000,0.12789336004242
59,FDC,16,105634233,16,6327292,15.2,34262300,11.09,,,,,,,,,,146223825,14.8149008781572,TRUE,574940000,0.254328843009705
60,RGNX,22,3063200,1.86,,,,,,,,,,,,,,3063200,1.86,TRUE,36611000,0.0836688426975499
61,OOMA,13,3922041,2.04,176005,3.1,174651,2.35,68802,2.35,140575,2.35,,,,,,4482074,2.10818583985896,TRUE,20626000,0.217302142926404
62,APPF,12,5279107,0.88,,,,,,,,,,,,,,5279107,0.88,TRUE,15944000,0.33110304816859
63,ADAP,17,37173085,2.8333,585000,0.7599,8598962,0.7599,2768700,0.5406,5096300,0.3611,12777700,0.3286,,,,66999747,1.78862137829117,TRUE,628273000,0.106641136894312
64,PMTS,10,4000000,10,528000,0.01,,,,,,,,,,,,4528000,8.83508833922262,TRUE,11161000,0.405698414120599
65,PUB,14.5,908436,5.74,32247,11.1,,,,,,,,,,,,940683,5.92374300375366,TRUE,18797000,0.0500443155822738
66,ICBK,15.75,376051,11.15,,,,,,,,,,,,,,376051,11.15,TRUE,6709000,0.0560517215680429
67,CTMX,12,8035540,10.38,,,,,,,,,,,,,,8035540,10.38,TRUE,45311000,0.177341925801682
68,IOTS,5,24586662,0.06,13580074,0.2301,,,,,,,,,,,,38166736,0.120523136885481,TRUE,29720000,1.28421049798116
69,GDDY,20,10285461,20,2000000,20,41528,20,22364135,10.89,98325,1.03,111628,2.34,5727071,2.5,,40628148,12.42403104173,TRUE,175609000,0.231355727781606
70,MCRB,18,4014246,3.63,92127,1.78,,,,,,,,,,,,4106373,3.58849501494384,TRUE,41095000,0.0999239080180071
71,NVCR,22,28616745,11.19,,,,,,,,,,,,,,28616745,11.19,TRUE,95766000,0.29881946619886
72,XBIT,19,493000,15,4929165,7.1,,,,,,,,,,,,5422165,7.81829241640562,TRUE,36110000,0.150156881750208
73,BLPH,12,13607098,0.8,,,,,,,,,,,,,,13607098,0.8,TRUE,68907000,0.197470474697781
74,JAGX,7,311498,1.6854,25000,0.9,1129673,1.77,,,,,,,,,,1466171,1.73719159579612,TRUE,59415000,0.0246767819574182
75,TDOC,19,3683133,5.72,551641,19,5939891,19,,,,,,,,,,10174665,14.1927649470523,TRUE,71595000,0.142114183951393
76,COLL,12,1939478,0.1,129788,0.28,4402982,0.83,,,,,,,,,,6472248,0.600218579386946,TRUE,33372000,0.193942466738583
77,SBBP,10,2340644,2.28,1022770,4.81,240792,2.28,387363,9.42,1775572,14.96,,,,,,5767141,7.11214002917563,TRUE,54172000,0.106459813187625
